serial,end_surgeme_frame_id,start_new_video,start_new_pegtransfer,ground_truth,prediction,mispredict_in_trial,pass_type,pegs_initial_configuration,tilt,target_pole,side_of_pole
1,S7_T3_color_frame373.jpg,1,1,0,0,1,R-L,"[2, 3, 6]",3,6,R
2,S7_T3_color_frame828.jpg,0,0,1,6,1,R-L,"[2, 3, 6]",3,6,R
3,S7_T3_color_frame859.jpg,0,0,2,6,1,R-L,"[2, 3, 6]",3,6,R
4,S7_T3_color_frame1030.jpg,0,0,3,5,1,R-L,"[2, 3, 6]",3,6,RL
5,S7_T3_color_frame1131.jpg,0,0,4,5,1,R-L,"[2, 3, 6]",3,6,RL
6,S7_T3_color_frame1303.jpg,0,0,5,5,1,R-L,"[2, 3, 6]",3,6,L
7,S7_T3_color_frame1522.jpg,0,0,6,6,1,R-L,"[2, 3, 6]",3,6,L
8,S7_T3_color_frame1635.jpg,0,1,0,0,0,R-L,"[2, 3, 6]",3,2,R
9,S7_T3_color_frame2116.jpg,0,0,1,1,0,R-L,"[2, 3, 6]",3,2,R
10,S7_T3_color_frame2146.jpg,0,0,2,2,0,R-L,"[2, 3, 6]",3,2,R
11,S7_T3_color_frame2290.jpg,0,0,3,3,0,R-L,"[2, 3, 6]",3,2,RL
12,S7_T3_color_frame2375.jpg,0,0,4,4,0,R-L,"[2, 3, 6]",3,2,RL
13,S7_T3_color_frame2506.jpg,0,0,5,5,0,R-L,"[2, 3, 6]",3,2,L
14,S7_T3_color_frame2710.jpg,0,0,6,6,0,R-L,"[2, 3, 6]",3,2,L
15,S7_T3_color_frame2791.jpg,0,1,0,0,0,R-L,"[2, 3, 6]",3,3,R
16,S7_T3_color_frame2881.jpg,0,0,1,1,0,R-L,"[2, 3, 6]",3,3,R
17,S7_T3_color_frame2905.jpg,0,0,2,2,0,R-L,"[2, 3, 6]",3,3,R
18,S7_T3_color_frame3049.jpg,0,0,3,3,0,R-L,"[2, 3, 6]",3,3,RL
19,S7_T3_color_frame3102.jpg,0,0,4,4,0,R-L,"[2, 3, 6]",3,3,RL
20,S7_T3_color_frame3222.jpg,0,0,5,5,0,R-L,"[2, 3, 6]",3,3,L
21,S7_T4_color_frame99.jpg,0,0,6,6,0,R-L,"[2, 3, 6]",3,3,L
22,S7_T4_color_frame231.jpg,1,1,0,0,1,L-R,"[5, 2, 6]",2,2,L
23,S7_T4_color_frame295.jpg,0,0,1,1,1,L-R,"[5, 2, 6]",2,2,L
24,S7_T4_color_frame320.jpg,0,0,2,2,1,L-R,"[5, 2, 6]",2,2,L
25,S7_T4_color_frame455.jpg,0,0,3,3,1,L-R,"[5, 2, 6]",2,2,LR
26,S7_T4_color_frame585.jpg,0,0,4,4,1,L-R,"[5, 2, 6]",2,2,LR
27,S7_T4_color_frame721.jpg,0,0,5,4,1,L-R,"[5, 2, 6]",2,2,R
28,S7_T4_color_frame881.jpg,0,0,6,6,1,L-R,"[5, 2, 6]",2,2,R
29,S7_T4_color_frame968.jpg,0,1,0,0,0,L-R,"[5, 2, 6]",2,6,L
30,S7_T4_color_frame1054.jpg,0,0,1,1,0,L-R,"[5, 2, 6]",2,6,L
31,S7_T4_color_frame1090.jpg,0,0,2,2,0,L-R,"[5, 2, 6]",2,6,L
32,S7_T4_color_frame1209.jpg,0,0,3,3,0,L-R,"[5, 2, 6]",2,6,LR
33,S7_T4_color_frame1272.jpg,0,0,4,4,0,L-R,"[5, 2, 6]",2,6,LR
34,S7_T4_color_frame1345.jpg,0,0,5,5,0,L-R,"[5, 2, 6]",2,6,R
35,S7_T4_color_frame1525.jpg,0,0,6,6,0,L-R,"[5, 2, 6]",2,6,R
36,S7_T4_color_frame1609.jpg,0,1,0,0,0,L-R,"[5, 2, 6]",2,5,L
37,S7_T4_color_frame1909.jpg,0,0,1,1,0,L-R,"[5, 2, 6]",2,5,L
38,S7_T4_color_frame1943.jpg,0,0,2,2,0,L-R,"[5, 2, 6]",2,5,L
39,S7_T4_color_frame2108.jpg,0,0,3,3,0,L-R,"[5, 2, 6]",2,5,LR
40,S7_T4_color_frame2254.jpg,0,0,4,4,0,L-R,"[5, 2, 6]",2,5,LR
41,S7_T4_color_frame2385.jpg,0,0,5,5,0,L-R,"[5, 2, 6]",2,5,R
42,S7_T5_color_frame42.jpg,0,0,6,6,0,L-R,"[5, 2, 6]",2,5,R
43,S7_T5_color_frame73.jpg,1,1,0,0,0,L-R,"[3, 1, 5]",1,1,L
44,S7_T5_color_frame117.jpg,0,0,1,1,0,L-R,"[3, 1, 5]",1,1,L
45,S7_T5_color_frame142.jpg,0,0,2,2,0,L-R,"[3, 1, 5]",1,1,L
46,S7_T5_color_frame333.jpg,0,0,3,3,0,L-R,"[3, 1, 5]",1,1,LR
47,S7_T5_color_frame595.jpg,0,0,4,4,0,L-R,"[3, 1, 5]",1,1,LR
48,S7_T5_color_frame823.jpg,0,0,5,5,0,L-R,"[3, 1, 5]",1,1,R
49,S7_T5_color_frame1010.jpg,0,0,6,6,0,L-R,"[3, 1, 5]",1,1,R
50,S7_T5_color_frame1186.jpg,0,1,0,0,0,L-R,"[3, 1, 5]",1,5,L
51,S7_T5_color_frame1247.jpg,0,0,1,1,0,L-R,"[3, 1, 5]",1,5,L
52,S7_T5_color_frame1292.jpg,0,0,2,2,0,L-R,"[3, 1, 5]",1,5,L
53,S7_T5_color_frame1536.jpg,0,0,3,3,0,L-R,"[3, 1, 5]",1,5,LR
54,S7_T5_color_frame1623.jpg,0,0,4,4,0,L-R,"[3, 1, 5]",1,5,LR
55,S7_T5_color_frame1750.jpg,0,0,5,5,0,L-R,"[3, 1, 5]",1,5,R
56,S7_T5_color_frame2213.jpg,0,0,6,6,0,L-R,"[3, 1, 5]",1,5,R
57,S7_T5_color_frame2329.jpg,0,1,0,0,0,L-R,"[3, 1, 5]",1,3,L
58,S7_T5_color_frame2411.jpg,0,0,1,1,0,L-R,"[3, 1, 5]",1,3,L
59,S7_T5_color_frame2456.jpg,0,0,2,2,0,L-R,"[3, 1, 5]",1,3,L
60,S7_T5_color_frame2625.jpg,0,0,3,3,0,L-R,"[3, 1, 5]",1,3,LR
61,S7_T5_color_frame2776.jpg,0,0,4,4,0,L-R,"[3, 1, 5]",1,3,LR
62,S7_T5_color_frame2881.jpg,0,0,5,5,0,L-R,"[3, 1, 5]",1,3,R
63,S7_T6_color_frame80.jpg,0,0,6,6,0,L-R,"[3, 1, 5]",1,3,R
64,S7_T6_color_frame137.jpg,1,1,0,0,0,R-L,"[1, 4, 5]",3,1,R
65,S7_T6_color_frame182.jpg,0,0,1,1,0,R-L,"[1, 4, 5]",3,1,R
66,S7_T6_color_frame209.jpg,0,0,2,2,0,R-L,"[1, 4, 5]",3,1,R
67,S7_T6_color_frame367.jpg,0,0,3,3,0,R-L,"[1, 4, 5]",3,1,RL
68,S7_T6_color_frame608.jpg,0,0,4,4,0,R-L,"[1, 4, 5]",3,1,RL
